Date,RRSP,TFSA,RF,TSX,SP500
01-31-2020,0,1.76,2.05,1.74,1.9
02-29-2020,-2.75,-9.85,1.38,-5.9,-6.96
03-31-2020,-17.42,-14.35,5.27,-17.38,-8.06
04-30-2020,8.83,6.96,-0.84,10.79,11.6
05-31-2020,3.51,6.19,-1.24,3.04,3.57
06-30-2020,2.55,-3.85,-1.41,2.46,0.6
07-31-2020,4.38,-3.25,-1.16,4.48,4.2
08-31-2020,6.3,2.29,-2.74,2.35,4.34
09-30-2020,1.87,-4.8,2.11,-2.06,-1.73
10-31-2020,1.64,-2.73,-0.01,-3.11,-2.63
11-30-2020,10.32,31.01,-2.37,10.57,8.06
12-31-2020,6.52,3.74,-2.07,1.72,1.84
01-31-2021,2.39,7.83,0.38,-0.32,-0.49
02-28-2021,0.43,1.7,-0.29,4.36,2.18
03-31-2021,0.57,-0.39,-1.41,3.87,3.14
04-30-2021,-0.88,-0.66,-2.14,2.39,3
05-31-2021,-2.43,0.19,-1.85,3.44,-1.13
06-30-2021,3.99,4.3,2.75,2.48,5.1
07-31-2021,-1.32,-0.49,0.62,0.8,3.01
08-31-2021,4.8,5.43,1.16,1.63,4.23
